city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Eichenau,Eichenau,48.1667,11.67,Germany,DE,DEU,Bavaria,,11867,1276298284
Freystadt,Freystadt,49.2,11.67,Germany,DE,DEU,Bavaria,,9265,1276684749
Rudolstadt,Rudolstadt,50.7169,11.75,Germany,DE,DEU,Thuringia,,24749,1276466405
Kronach,Kronach,50.2411,11.81,Germany,DE,DEU,Bavaria,minor,16906,1276212761
Weimar,Weimar,50.9811,11.94,Germany,DE,DEU,Thuringia,minor,65620,1276053525
Arzignano,Arzignano,45.5167,11.33,Italy,IT,ITA,Veneto,,25280,1380567531
Laives,Laives,46.4333,11.33,Italy,IT,ITA,Trentino-Alto Adige,,18162,1380561318
Starnberg,Starnberg,47.9972,11.06,Germany,DE,DEU,Bavaria,minor,23741,1276454637
Bologna,Bologna,44.4939,11.28,Italy,IT,ITA,Emilia-Romagna,admin,387971,1380202039
Schnaittach,Schnaittach,49.5592,11.31,Germany,DE,DEU,Bavaria,,8516,1276694554
Pianoro,Pianoro,44.3875,11.44,Italy,IT,ITA,Emilia-Romagna,,17652,1380089762
Argelato,Argelato,44.5758,11.86,Italy,IT,ITA,Emilia-Romagna,,9635,1380559231
Cornedo Vicentino,Cornedo Vicentino,45.6167,11.35,Italy,IT,ITA,Veneto,,11678,1380484003
Bolzano,Bolzano,46.5,11.35,Italy,IT,ITA,Trentino-Alto Adige,minor,106107,1380677819
Puchheim,Puchheim,48.15,11.35,Germany,DE,DEU,Bavaria,,21420,1276452600
Schio,Schio,45.7111,11.56,Italy,IT,ITA,Veneto,,38580,1380627888
Castel Maggiore,Castel Maggiore,44.5667,11.67,Italy,IT,ITA,Emilia-Romagna,,18462,1380605846
Trissino,Trissino,45.5667,11.67,Italy,IT,ITA,Veneto,,8619,1380795560
Germering,Germering,48.1333,11.67,Germany,DE,DEU,Bavaria,,41355,1276002965
Gröbenzell,Grobenzell,48.2,11.67,Germany,DE,DEU,Bavaria,,19717,1276398825
Markt Indersdorf,Markt Indersdorf,48.3667,11.67,Germany,DE,DEU,Bavaria,,10498,1276148696
Gaimersheim,Gaimersheim,48.8167,11.67,Germany,DE,DEU,Bavaria,,12352,1276719449
Saalfeld,Saalfeld,50.65,11.67,Germany,DE,DEU,Thuringia,minor,29224,1276907261
Gauting,Gauting,48.0678,11.39,Germany,DE,DEU,Bavaria,,21276,1276677644
San Giorgio di Piano,San Giorgio di Piano,44.65,11.33,Italy,IT,ITA,Emilia-Romagna,,9376,1380940208
Lonigo,Lonigo,45.3833,11.33,Italy,IT,ITA,Veneto,,15847,1380114554
Penzberg,Penzberg,47.75,11.33,Germany,DE,DEU,Bavaria,,16729,1276589283
Gardelegen,Gardelegen,52.5264,11.25,Germany,DE,DEU,Saxony-Anhalt,,22054,1276557570
Innsbruck,Innsbruck,47.2683,11.33,Austria,AT,AUT,Tirol,admin,130585,1040038924
San Pietro in Casale,San Pietro in Casale,44.7,11.4,Italy,IT,ITA,Emilia-Romagna,,12834,1380864368
San Lazzaro di Savena,San Lazzaro di Savena,44.4708,11.83,Italy,IT,ITA,Emilia-Romagna,,32614,1380383689
Bondeno,Bondeno,44.8833,11.67,Italy,IT,ITA,Emilia-Romagna,,13738,1380410103
Montecchio Maggiore,Montecchio Maggiore,45.5,11.67,Italy,IT,ITA,Veneto,,23351,1380200882
Malo,Malo,45.6667,11.67,Italy,IT,ITA,Veneto,,14654,1380662716
Haldensleben,Haldensleben,52.2833,11.67,Germany,DE,DEU,Saxony-Anhalt,minor,19267,1276371853
Schwerin,Schwerin,53.6333,11.67,Germany,DE,DEU,Mecklenburg-Western Pomerania,admin,98596,1276221707
Ingolstadt,Ingolstadt,48.7631,11.425,Germany,DE,DEU,Bavaria,minor,141029,1276803150
Wolfratshausen,Wolfratshausen,47.9133,11.78,Germany,DE,DEU,Bavaria,,19335,1276706639
Gräfelfing,Grafelfing,48.1189,11.89,Germany,DE,DEU,Bavaria,,13769,1276126852
Planegg,Planegg,48.1047,11.06,Germany,DE,DEU,Bavaria,,11063,1276760945
Hersbruck,Hersbruck,49.5081,11.28,Germany,DE,DEU,Bavaria,,12681,1276272170
Marano Vicentino,Marano Vicentino,45.7,11.33,Italy,IT,ITA,Veneto,,9285,1380991447
Berching,Berching,49.1,11.33,Germany,DE,DEU,Bavaria,,9044,1276699990
Kulmbach,Kulmbach,50.1,11.33,Germany,DE,DEU,Bavaria,minor,25818,1276728110
Wanzleben,Wanzleben,52.0667,11.33,Germany,DE,DEU,Saxony-Anhalt,,13813,1276538835
Dachau,Dachau,48.2603,11.42,Germany,DE,DEU,Bavaria,minor,48195,1276549079
Granarolo del l’Emilia,Granarolo del l'Emilia,44.55,11.45,Italy,IT,ITA,Emilia-Romagna,,12757,1380002344
Altavilla Vicentina,Altavilla Vicentina,45.5167,11.45,Italy,IT,ITA,Veneto,,11868,1380330182
Isola Vicentina,Isola Vicentina,45.6333,11.45,Italy,IT,ITA,Veneto,,10228,1380131018
Rum,Rum,47.2872,11.81,Austria,AT,AUT,Tirol,,9337,1040726454
Montagnana,Montagnana,45.2333,11.11,Italy,IT,ITA,Veneto,,8937,1380865759
Neuried,Neuried,48.0933,11.58,Germany,DE,DEU,Bavaria,,8967,1276429701
Geretsried,Geretsried,47.8667,11.67,Germany,DE,DEU,Bavaria,,25623,1276737058
Karlsfeld,Karlsfeld,48.2167,11.67,Germany,DE,DEU,Bavaria,,22069,1276796218
Beilngries,Beilngries,49.0333,11.67,Germany,DE,DEU,Bavaria,,10195,1276091719
Neumarkt,Neumarkt,49.2833,11.67,Germany,DE,DEU,Bavaria,minor,40808,1276002746
Aschersleben,Aschersleben,51.75,11.67,Germany,DE,DEU,Saxony-Anhalt,,26604,1276084397
Wismar,Wismar,53.9,11.67,Germany,DE,DEU,Mecklenburg-Western Pomerania,minor,43878,1276660084
Castenaso,Castenaso,44.5097,11.06,Italy,IT,ITA,Emilia-Romagna,,16145,1380350174
Thiene,Thiene,45.7083,11.78,Italy,IT,ITA,Veneto,,23794,1380849890
Minerbio,Minerbio,44.6167,11.33,Italy,IT,ITA,Emilia-Romagna,,8870,1380077571
Creazzo,Creazzo,45.5333,11.33,Italy,IT,ITA,Veneto,,11160,1380029462
Caldogno,Caldogno,45.6,11.44,Italy,IT,ITA,Veneto,,11297,1380104300
Manching,Manching,48.7186,11.72,Germany,DE,DEU,Bavaria,,13302,1276452710
Ludwigslust,Ludwigslust,53.3244,11.72,Germany,DE,DEU,Mecklenburg-Western Pomerania,,12270,1276582763
Poggio Renatico,Poggio Renatico,44.7667,11.5,Italy,IT,ITA,Emilia-Romagna,,9709,1380751237
Badia Polesine,Badia Polesine,45.1,11.5,Italy,IT,ITA,Veneto,,10068,1380577968
Hall in Tirol,Hall in Tirol,47.2833,11.5,Austria,AT,AUT,Tirol,,13897,1040200365
Kösching,Kosching,48.8167,11.5,Germany,DE,DEU,Bavaria,,9875,1276577514
Hettstedt,Hettstedt,51.6333,11.5,Germany,DE,DEU,Saxony-Anhalt,,13678,1276039853
Grünwald,Grunwald,48.0333,11.67,Germany,DE,DEU,Bavaria,,11382,1276645609
Pullach im Isartal,Pullach im Isartal,48.05,11.67,Germany,DE,DEU,Bavaria,,9026,1276150760
Pfaffenhofen,Pfaffenhofen,48.5333,11.67,Germany,DE,DEU,Bavaria,minor,26943,1276259181
Apolda,Apolda,51.0167,11.67,Germany,DE,DEU,Thuringia,minor,23072,1276857102
Budrio,Budrio,44.55,11.33,Italy,IT,ITA,Emilia-Romagna,,18226,1380367732
Malalbergo,Malalbergo,44.7167,11.33,Italy,IT,ITA,Emilia-Romagna,,9130,1380289270
Noventa Vicentina,Noventa Vicentina,45.2833,11.33,Italy,IT,ITA,Veneto,,8952,1380296259
Pegnitz,Pegnitz,49.7564,11.545,Germany,DE,DEU,Bavaria,,13561,1276197483
Vicenza,Vicenza,45.55,11.55,Italy,IT,ITA,Veneto,minor,109823,1380072199
Dueville,Dueville,45.6333,11.55,Italy,IT,ITA,Veneto,,13576,1380919954
Bad Tölz,Bad Tolz,47.7603,11.67,Germany,DE,DEU,Bavaria,minor,19186,1276892151
Oberschleißheim,Oberschleissheim,48.25,11.67,Germany,DE,DEU,Bavaria,,11998,1276407892
Unterschleißheim,Unterschleissheim,48.2833,11.67,Germany,DE,DEU,Bavaria,,29523,1276071648
Staßfurt,Stassfurt,51.8667,11.67,Germany,DE,DEU,Saxony-Anhalt,,24293,1276438491
Lenggries,Lenggries,47.6803,11.39,Germany,DE,DEU,Bavaria,,10146,1276352109
Munich,Munich,48.1375,11.575,Germany,DE,DEU,Bavaria,admin,2606021,1276692352
Bayreuth,Bayreuth,49.9481,11.83,Germany,DE,DEU,Bavaria,minor,74506,1276275069
Castel San Pietro Terme,Castel San Pietro Terme,44.4,11.33,Italy,IT,ITA,Emilia-Romagna,,20737,1380181797
Occhiobello,Occhiobello,44.9167,11.33,Italy,IT,ITA,,,12016,1380582807
Monticello Conte Otto,Monticello Conte Otto,45.6,11.33,Italy,IT,ITA,Veneto,,9029,1380040208
Oberhaching,Oberhaching,48.0167,11.33,Germany,DE,DEU,Bavaria,,13909,1276103002
Jena,Jena,50.9272,11.61,Germany,DE,DEU,Thuringia,minor,111191,1276659978
Geisenfeld,Geisenfeld,48.6667,11.6,Germany,DE,DEU,Bavaria,,11605,1276340970
Pößneck,Possneck,50.7,11.6,Germany,DE,DEU,Thuringia,,11752,1276601734
Querfurt,Querfurt,51.3833,11.6,Germany,DE,DEU,Saxony-Anhalt,,10256,1276096185
Lendinara,Lendinara,45.085,11.06,Italy,IT,ITA,Veneto,,11438,1380831674
Unterhaching,Unterhaching,48.0658,11.61,Germany,DE,DEU,Bavaria,,25873,1276779846
Ferrara,Ferrara,44.8333,11.67,Italy,IT,ITA,Emilia-Romagna,minor,129340,1380682411
Torri di Quartesolo,Torri di Quartesolo,45.5167,11.67,Italy,IT,ITA,Veneto,,11680,1380825558
Taufkirchen,Taufkirchen,48.05,11.67,Germany,DE,DEU,Bavaria,,18185,1276946888
Eching,Eching,48.3,11.67,Germany,DE,DEU,Bavaria,,14430,1276481683
Wolnzach,Wolnzach,48.6,11.67,Germany,DE,DEU,Bavaria,,11835,1276311526
Vohburg an der Donau,Vohburg an der Donau,48.7667,11.67,Germany,DE,DEU,Bavaria,,8756,1276723735
Auerbach,Auerbach,49.6833,11.67,Germany,DE,DEU,Bavaria,,9066,1276188143
Wolmirstedt,Wolmirstedt,52.2519,11.97,Germany,DE,DEU,Saxony-Anhalt,,11602,1276525433
Medicina,Medicina,44.4833,11.33,Italy,IT,ITA,Emilia-Romagna,,16625,1380077398
Barleben,Barleben,52.2,11.33,Germany,DE,DEU,Saxony-Anhalt,,9238,1276521807
Magdeburg,Magdeburg,52.1317,11.92,Germany,DE,DEU,Saxony-Anhalt,admin,239364,1276418236
Marostica,Marostica,45.75,11.65,Italy,IT,ITA,Veneto,,13940,1380791088
Bressanone,Bressanone,46.7167,11.65,Italy,IT,ITA,Trentino-Alto Adige,,22816,1380666737
Unterföhring,Unterfohring,48.2,11.65,Germany,DE,DEU,Bavaria,,11500,1276741944
Garching bei München,Garching bei Munchen,48.25,11.65,Germany,DE,DEU,Bavaria,,17526,1276544473
Molinella,Molinella,44.6167,11.67,Italy,IT,ITA,Emilia-Romagna,,15636,1380126666
Este,Este,45.2333,11.67,Italy,IT,ITA,Veneto,,15975,1380163207
Teolo,Teolo,45.35,11.67,Italy,IT,ITA,Veneto,,8865,1380263826
Ottobrunn,Ottobrunn,48.0667,11.67,Germany,DE,DEU,Bavaria,,22430,1276842192
Neufahrn bei Freising,Neufahrn bei Freising,48.3167,11.67,Germany,DE,DEU,Bavaria,,20590,1276307498
Ismaning,Ismaning,48.2264,11.25,Germany,DE,DEU,Bavaria,,18062,1276633464
Neubiberg,Neubiberg,48.0833,11.33,Germany,DE,DEU,Bavaria,,14449,1276417573
Conselice,Conselice,44.3333,11.7,Italy,IT,ITA,Emilia-Romagna,,9541,1380930733
Tezze sul Brenta,Tezze sul Brenta,45.6833,11.7,Italy,IT,ITA,Veneto,,12920,1380238354
Schwaz,Schwaz,47.35,11.7,Austria,AT,AUT,Tirol,minor,13810,1040919527
Holzkirchen,Holzkirchen,47.8833,11.7,Germany,DE,DEU,Bavaria,,16722,1276287582
Hohenbrunn,Hohenbrunn,48.05,11.7,Germany,DE,DEU,Bavaria,,8871,1276417376
Imola,Imola,44.3531,11.47,Italy,IT,ITA,Emilia-Romagna,,69121,1380070609
Camisano Vicentino,Camisano Vicentino,45.5167,11.67,Italy,IT,ITA,Veneto,,11124,1380821535
Aschheim,Aschheim,48.1733,11.78,Germany,DE,DEU,Bavaria,,9413,1276119666
Biederitz,Biederitz,52.1608,11.78,Germany,DE,DEU,Saxony-Anhalt,,8744,1276237569
Höhenkirchen-Siegertsbrunn,Hohenkirchen-Siegertsbrunn,48.0167,11.33,Germany,DE,DEU,Bavaria,,11422,1276421058
Haar,Haar,48.1,11.33,Germany,DE,DEU,Bavaria,,22555,1276621025
Bernburg,Bernburg,51.8,11.33,Germany,DE,DEU,Saxony-Anhalt,minor,32261,1276331294
Bassano del Grappa,Bassano del Grappa,45.7667,11.42,Italy,IT,ITA,Veneto,,42395,1380653190
Freising,Freising,48.4028,11.89,Germany,DE,DEU,Bavaria,minor,49339,1276519005
Monselice,Monselice,45.2333,11.75,Italy,IT,ITA,Veneto,,17220,1380805860
Kirchheim bei München,Kirchheim bei Munchen,48.1833,11.75,Germany,DE,DEU,Bavaria,,12714,1276864694
Hallbergmoos,Hallbergmoos,48.3333,11.75,Germany,DE,DEU,Bavaria,,11662,1276167916
Sulzbach-Rosenberg,Sulzbach-Rosenberg,49.5,11.75,Germany,DE,DEU,Bavaria,,19401,1276541212
Neustadt,Neustadt,50.7333,11.75,Germany,DE,DEU,Thuringia,,9017,1276606241
Schönebeck,Schonebeck,52.0167,11.75,Germany,DE,DEU,Saxony-Anhalt,,30389,1276217785
Wittenberge,Wittenberge,53,00,11.75,Germany,DE,DEU,Brandenburg,,16837,1276040852
Mestrino,Mestrino,45.45,11.67,Italy,IT,ITA,Veneto,,11728,1380345520
Piazzola sul Brenta,Piazzola sul Brenta,45.5333,11.67,Italy,IT,ITA,Veneto,,11079,1380205333
Rosà,Rosa,45.7167,11.67,Italy,IT,ITA,Veneto,,14632,1380877179
Neustadt an der Donau,Neustadt an der Donau,48.8,11.67,Germany,DE,DEU,Bavaria,,14714,1276348770
Münchberg,Munchberg,50.2,11.67,Germany,DE,DEU,Bavaria,,10179,1276739492
Osterburg,Osterburg,52.7833,11.67,Germany,DE,DEU,Saxony-Anhalt,,9580,1276131088
Vaterstetten,Vaterstetten,48.105,11.06,Germany,DE,DEU,Bavaria,,25530,1276137898
Hemau,Hemau,49.0519,11.28,Germany,DE,DEU,Bavaria,,9599,1276739454
Montegrotto Terme,Montegrotto Terme,45.3333,11.33,Italy,IT,ITA,Veneto,,11391,1380955470
Selvazzano Dentro,Selvazzano Dentro,45.3833,11.33,Italy,IT,ITA,Veneto,,22832,1380351916
Rubano,Rubano,45.4333,11.33,Italy,IT,ITA,Veneto,,16856,1380183022
Cittadella,Cittadella,45.65,11.33,Italy,IT,ITA,Veneto,,20023,1380660724
Mainburg,Mainburg,48.65,11.33,Germany,DE,DEU,Bavaria,,15466,1276991073
Abano Terme,Abano Terme,45.3603,11.79,Italy,IT,ITA,Veneto,,20231,1380340471
Rovigo,Rovigo,45.0703,11.06,Italy,IT,ITA,Veneto,minor,49985,1380037431
Castel Bolognese,Castel Bolognese,44.3167,11.8,Italy,IT,ITA,Emilia-Romagna,,9527,1380286347
Portomaggiore,Portomaggiore,44.7,11.8,Italy,IT,ITA,Emilia-Romagna,,11780,1380757237
Mücheln,Mucheln,51.3,11.8,Germany,DE,DEU,Saxony-Anhalt,,8542,1276286774
Möser,Moser,52.2167,11.8,Germany,DE,DEU,Saxony-Anhalt,,8517,1276001510
Tangerhütte,Tangerhutte,52.4333,11.8,Germany,DE,DEU,Saxony-Anhalt,,10599,1276201487
Massa Lombarda,Massa Lombarda,44.45,11.67,Italy,IT,ITA,Emilia-Romagna,,10604,1380884282
Poing,Poing,48.1667,11.67,Germany,DE,DEU,Bavaria,,16404,1276650408
Schleiz,Schleiz,50.5833,11.67,Germany,DE,DEU,Thuringia,minor,8866,1276386563
Naumburg,Naumburg,51.15,11.67,Germany,DE,DEU,Saxony-Anhalt,minor,32289,1276335227
Argenta,Argenta,44.6153,11.33,Italy,IT,ITA,Emilia-Romagna,,20917,1380471746
Copparo,Copparo,44.9,11.33,Italy,IT,ITA,Emilia-Romagna,,15673,1380210267
Miesbach,Miesbach,47.7833,11.33,Germany,DE,DEU,Bavaria,minor,12083,1276609193
Zorneding,Zorneding,48.0833,11.33,Germany,DE,DEU,Bavaria,,9369,1276678708
Bad Lauchstädt,Bad Lauchstadt,51.3667,11.33,Germany,DE,DEU,Saxony-Anhalt,,8939,1276634742
Gommern,Gommern,52.0667,11.33,Germany,DE,DEU,Saxony-Anhalt,,10485,1276399095
Parchim,Parchim,53.4167,11.33,Germany,DE,DEU,Mecklenburg-Western Pomerania,minor,18278,1276781173
Amberg,Amberg,49.4444,11.83,Germany,DE,DEU,Bavaria,minor,42534,1276551955
San Martino di Lupari,San Martino di Lupari,45.65,11.85,Italy,IT,ITA,Veneto,,13209,1380028466
Feldkirchen-Westerham,Feldkirchen-Westerham,47.9,11.85,Germany,DE,DEU,Bavaria,,11190,1276377703
Abensberg,Abensberg,48.8,11.85,Germany,DE,DEU,Bavaria,,14534,1276501504
Stendal,Stendal,52.6,11.85,Germany,DE,DEU,Saxony-Anhalt,minor,39105,1276016814
Burg,Burg,52.2725,11.855,Germany,DE,DEU,Saxony-Anhalt,minor,22689,1276295040
Conselve,Conselve,45.2333,11.67,Italy,IT,ITA,Veneto,,9957,1380837833
Maserà di Padova,Masera di Padova,45.3167,11.67,Italy,IT,ITA,Veneto,,9126,1380237526
Albignasego,Albignasego,45.35,11.67,Italy,IT,ITA,Veneto,,26890,1380732466
Padova,Padova,45.4167,11.67,Italy,IT,ITA,Veneto,minor,206496,1380964615
Loria,Loria,45.7333,11.67,Italy,IT,ITA,Veneto,,9242,1380846175
Kelheim,Kelheim,48.9167,11.67,Germany,DE,DEU,Bavaria,minor,17044,1276123640
Perleberg,Perleberg,53.0667,11.67,Germany,DE,DEU,Brandenburg,minor,12108,1276426476
